Rank,Name,ConvName,SitePos,SiteAge,BarType,Bar1,Bar2,OVR,Arm,Run,Fielding,IFRange,OFRange,AB,H,B2,B3,HR,BB,SO,vL_OBP,vL_SLG,vR_OBP,vR_SLG,Level,Age,Pos,EligCount,MaxFieldPos,END,AB_p,H_p,B2_p,B3_p,HR_p,BB_p,SO_p,WtdOBP,WtdSLG,NumPitches,MaxQual,OBP_blend,SLG_blend,GPA,BB%,K%,ISO
97,Ini Kamoze,"Kamoze, Ini",2B,22,H,90.3,109.8,108.78,7.19,2.69,0.987,3.76,2.6,600.0,170.0,32.0,4.0,25.0,92.0,90.0,0.387,0.49,0.369,0.462,AA,22,2B,1.0,1.0,,,,,,,,,,,,,0.3735,0.46900000000000003,0.285325,0.15333333333333332,0.15,0.1856666666666667
98,John Mueller,"Mueller, John",SS,20,H,112.15,106.28,108.72,5.33,4.66,0.992,6.5,6.16,600.0,168.0,35.0,8.0,13.0,86.0,62.0,0.362,0.418,0.379,0.445,AA,20,SS,1.0,1.0,,,,,,,,,,,,,0.37475,0.43825,0.2782,0.14333333333333334,0.10333333333333333,0.15824999999999995
100,John McEnroe,"McEnroe, John",RF,22,H,93.24,109.24,108.58,4.52,3.89,0.998,3.65,3.06,600.0,174.0,38.0,3.0,15.0,77.0,66.0,0.359,0.418,0.382,0.454,AAA,22,RF,3.0,1.0,,,,,,,,,,,,,0.37625,0.445,0.2805625,0.12833333333333333,0.11,0.15500000000000003
102,Aoi Todo,"Todo, Aoi",SS,24,H,78.57,109.61,108.35,4.88,4.8,0.986,4.0,4.76,600.0,182.0,38.0,5.0,8.0,79.0,43.0,0.394,0.438,0.375,0.408,AAA,24,SS,4.0,1.0,,,,,,,,,,,,,0.37975000000000003,0.4155,0.2747625,0.13166666666666665,0.07166666666666667,0.11216666666666664
104,Dan Hicks,"Hicks, Dan",RF,19,H,109.21,106.93,108.08,6.6,3.33,0.971,2.79,4.16,600.0,181.0,35.0,5.0,19.0,55.0,71.0,0.353,0.462,0.369,0.487,A,19,RF,1.0,1.0,,,,,,,,,,,,,0.365,0.48074999999999996,0.2844375,0.09166666666666666,0.11833333333333333,0.17908333333333326
107,Jack Burton,"Burton, Jack",3B,24,H,91.8,114.89,107.95,4.87,3.64,0.995,3.4,4.58,600.0,159.0,28.0,4.0,42.0,99.0,106.0,0.376,0.545,0.362,0.523,AAA,24,3B,3.0,1.0,,,,,,,,,,,,,0.36549999999999994,0.5285,0.2966,0.165,0.17666666666666667,0.26349999999999996
108,Matt Porter,"Porter, Matt",1B,20,H,76.76,111.37,107.91,5.3,2.71,0.977,1.91,1.54,600.0,173.0,39.0,4.0,19.0,86.0,96.0,0.367,0.445,0.39,0.48,A,20,1B,1.0,1.0,,,,,,,,,,,,,0.38425,0.47125,0.290725,0.14333333333333334,0.16,0.18291666666666667
110,Micheal Diaz,"Diaz, Micheal",SS,21,H,73.02,111.74,107.87,6.42,3.1,0.969,2.8,3.91,600.0,161.0,34.0,3.0,31.0,66.0,87.0,0.331,0.473,0.351,0.503,AA,21,SS,2.0,1.0,,,,,,,,,,,,,0.346,0.49549999999999994,0.279575,0.11,0.145,0.22716666666666663
111,Aristotle Kennedy,"Kennedy, Aristotle",1B,20,H,79.38,112.94,107.74,4.27,3.21,0.981,2.27,1.72,600.0,161.0,33.0,1.0,35.0,71.0,79.0,0.336,0.49,0.354,0.518,AA,20,1B,1.0,1.0,,,,,,,,,,,,,0.3495,0.511,0.285025,0.11833333333333333,0.13166666666666665,0.2426666666666667
112,Lech Walesa,"Walesa, Lech",C,21,H,118.97,100.27,107.69,8.45,2.2,0.975,1.98,1.81,600.0,175.0,38.0,3.0,23.0,45.0,57.0,0.353,0.496,0.331,0.463,AAA,21,C,1.0,1.0,,,,,,,,,,,,,0.3365,0.47125,0.2692375,0.075,0.095,0.17958333333333332
117,Manny Bothans,"Bothans, Manny",C,24,H,118.31,107.76,106.97,6.29,4.09,0.993,4.59,5.0,600.0,158.0,31.0,1.0,33.0,66.0,93.0,0.337,0.483,0.335,0.482,ML,24,C,3.0,1.0,,,,,,,,,,,,,0.3355,0.48224999999999996,0.2715375,0.11,0.155,0.21891666666666665
120,James Golightly,"Golightly, James",CF,21,H,150.72,100.73,106.65,8.44,7.78,0.971,8.11,10.0,600.0,161.0,33.0,0.0,27.0,86.0,101.0,0.371,0.475,0.351,0.444,AAA,21,CF,2.0,1.0,,,,,,,,,,,,,0.356,0.45175,0.27313750000000003,0.14333333333333334,0.16833333333333333,0.18341666666666667
122,Keith Burrows,"Burrows, Keith",CF,19,H,91.7,112.85,106.12,6.3,3.25,0.993,3.6,4.35,600.0,155.0,33.0,3.0,16.0,131.0,87.0,0.382,0.388,0.401,0.417,AA,19,CF,1.0,1.0,,,,,,,,,,,,,0.39625,0.40974999999999995,0.28075,0.21833333333333332,0.145,0.1514166666666666
123,Mike Condry,"Condry, Mike",CF,22,H,147.85,97.03,105.82,6.55,6.52,0.994,6.49,7.17,600.0,186.0,34.0,3.0,6.0,60.0,70.0,0.368,0.402,0.378,0.419,A,22,CF,1.0,1.0,,,,,,,,,,,,,0.37549999999999994,0.41474999999999995,0.2726625,0.1,0.11666666666666667,0.10474999999999995
124,Michael McCuiston,"McCuiston, Michael",C,25,H,140.43,98.61,105.56,7.97,5.96,0.994,4.51,5.38,600.0,164.0,30.0,5.0,7.0,86.0,37.0,0.354,0.357,0.376,0.392,AAA,25,C,2.0,1.0,,,,,,,,,,,,,0.37050000000000005,0.38325000000000004,0.26253750000000003,0.14333333333333334,0.06166666666666667,0.10991666666666672
126,Pedro Ruiz,"Ruiz, Pedro",2B,24,H,63.18,111.09,105.38,1.12,2.98,0.993,2.98,2.41,600.0,161.0,30.0,3.0,26.0,95.0,66.0,0.378,0.475,0.359,0.446,ML,24,2B,2.0,1.0,,,,,,,,,,,,,0.36375,0.45325000000000004,0.277,0.15833333333333333,0.11,0.18491666666666673
128,Taylor Tuck,"Tuck, Taylor",C,24,H,131.65,94.91,105.06,8.51,3.57,0.986,5.46,5.14,600.0,170.0,60.0,4.0,2.0,34.0,34.0,0.313,0.394,0.332,0.422,AAA,24,C,3.0,1.0,,,,,,,,,,,,,0.32725,0.41500000000000004,0.25101249999999997,0.056666666666666664,0.056666666666666664,0.1316666666666667
129,Dave Rood,"Rood, Dave",CF,20,H,102.9,107.3,105.01,5.08,3.95,0.984,4.76,5.18,600.0,167.0,35.0,4.0,19.0,92.0,65.0,0.386,0.465,0.361,0.426,AA,20,CF,2.0,1.0,,,,,,,,,,,,,0.36724999999999997,0.43575,0.2742,0.15333333333333332,0.10833333333333334,0.1574166666666667
130,Alton Bartley,"Bartley, Alton",1B,24,H,87.63,108.97,104.99,6.29,2.97,0.986,1.68,2.0,600.0,161.0,21.0,3.0,32.0,86.0,104.0,0.353,0.462,0.365,0.481,ML,24,1B,4.0,1.0,,,,,,,,,,,,,0.362,0.47625,0.2819625,0.14333333333333334,0.17333333333333334,0.2079166666666667
131,Michael Barro,"Barro, Michael",C,25,H,132.63,97.77,104.77,7.89,3.53,0.991,3.69,2.92,600.0,170.0,37.0,3.0,8.0,73.0,33.0,0.37,0.412,0.351,0.383,AAA,25,C,1.0,1.0,,,,,,,,,,,,,0.35575,0.39025,0.25765000000000005,0.12166666666666667,0.055,0.10691666666666666
132,Justin Etchison,"Etchison, Justin",1B,22,H,76.66,110.81,104.62,4.59,3.03,0.967,2.9,3.44,600.0,167.0,34.0,0.0,28.0,89.0,100.0,0.378,0.486,0.363,0.462,AA,22,1B,2.0,1.0,,,,,,,,,,,,,0.36675,0.468,0.2820375,0.14833333333333334,0.16666666666666666,0.1896666666666667
133,Oscar Pacheco,"Pacheco, Oscar",LF,20,H,90.58,106.1,104.54,5.51,3.3,0.975,4.44,3.95,600.0,175.0,33.0,2.0,29.0,59.0,102.0,0.366,0.518,0.342,0.48,AA,20,LF,2.0,1.0,,,,,,,,,,,,,0.348,0.4895,0.278975,0.09833333333333333,0.17,0.1978333333333333
135,Jeffery Chatman,"Chatman, Jeffery",3B,21,H,92.65,106.75,104.41,6.24,3.49,0.991,2.33,3.24,600.0,165.0,35.0,3.0,25.0,82.0,87.0,0.373,0.484,0.351,0.451,AAA,21,3B,2.0,1.0,,,,,,,,,,,,,0.3565,0.45925,0.27523749999999997,0.13666666666666666,0.145,0.18424999999999997
136,John Debari,"Debari, John",RF,24,H,109.8,102.77,104.4,7.38,3.67,0.974,3.13,3.61,600.0,175.0,14.0,5.0,6.0,97.0,43.0,0.379,0.347,0.403,0.385,AAA,24,RF,1.0,1.0,,,,,,,,,,,,,0.397,0.3755,0.272525,0.16166666666666665,0.07166666666666667,0.08383333333333332
137,Mose Braden,"Braden, Mose",RF,21,H,111.72,105.54,104.3,6.14,4.54,0.994,3.15,4.13,600.0,166.0,31.0,5.0,13.0,102.0,61.0,0.39,0.423,0.373,0.398,A,21,RF,1.0,1.0,,,,,,,,,,,,,0.37725,0.40425,0.270825,0.17,0.10166666666666667,0.12758333333333333
138,Hardin Hall,"Hall, Hardin",C,21,H,120.95,102.4,104.25,8.86,2.8,0.98,1.49,2.0,600.0,159.0,27.0,1.0,32.0,66.0,93.0,0.349,0.488,0.327,0.453,AA,21,C,2.0,1.0,,,,,,,,,,,,,0.3325,0.46175,0.2650625,0.11,0.155,0.19674999999999998
139,Bob Horton,"Horton, Bob",C,24,H,138.69,97.5,104.21,8.44,4.36,0.995,4.65,5.22,600.0,178.0,36.0,3.0,4.0,78.0,56.0,0.389,0.405,0.366,0.37,AAA,24,C,2.0,1.0,,,,,,,,,,,,,0.37174999999999997,0.37875,0.26197499999999996,0.13,0.09333333333333334,0.08208333333333329
140,Andre Wood,"Wood, Andre",C,24,H,116.75,105.73,104.06,5.92,3.31,0.993,3.94,4.24,600.0,152.0,30.0,2.0,33.0,66.0,111.0,0.321,0.464,0.335,0.486,ML,24,C,5.0,1.0,,,,,,,,,,,,,0.3315,0.4805,0.2693,0.11,0.185,0.22716666666666663
141,Sadie Sossamon,"Sossamon, Sadie",SS,22,H,126.89,97.4,104.04,6.19,4.84,0.998,6.91,5.79,600.0,186.0,39.0,4.0,2.0,64.0,37.0,0.378,0.401,0.374,0.395,AAA,22,SS,2.0,1.0,,,,,,,,,,,,,0.375,0.3965,0.26787500000000003,0.10666666666666667,0.06166666666666667,0.08650000000000002
142,Walker Irrelevent,"Irrelevent, Walker",3B,21,H,78.07,107.95,104.03,5.22,2.24,0.991,1.39,2.0,600.0,163.0,36.0,4.0,17.0,107.0,85.0,0.391,0.446,0.374,0.42,AA,21,3B,1.0,1.0,,,,,,,,,,,,,0.37825,0.4265,0.27683749999999996,0.17833333333333334,0.14166666666666666,0.15483333333333332
143,Tyson Krueger,"Krueger, Tyson",LF,21,H,78.83,112.94,103.99,2.71,2.69,0.994,2.49,3.35,600.0,154.0,31.0,2.0,34.0,98.0,74.0,0.371,0.502,0.349,0.468,AA,21,LF,1.0,1.0,,,,,,,,,,,,,0.3545,0.47650000000000003,0.27865,0.16333333333333333,0.12333333333333334,0.21983333333333338
144,Carmelo Howard,"Howard, Carmelo",SS,21,H,134.18,95.18,103.71,4.55,8.64,0.989,8.26,9.47,600.0,178.0,36.0,3.0,10.0,60.0,74.0,0.36,0.416,0.36,0.416,AA,21,SS,1.0,1.0,,,,,,,,,,,,,0.36,0.416,0.266,0.1,0.12333333333333334,0.11933333333333329
145,Jacob Cox,"Cox, Jacob",C,22,H,113.02,103.69,103.69,6.34,3.72,0.989,2.76,3.96,600.0,161.0,31.0,3.0,30.0,77.0,108.0,0.36,0.494,0.345,0.471,AAA,22,C,2.0,1.0,,,,,,,,,,,,,0.34875,0.47674999999999995,0.276125,0.12833333333333333,0.18,0.20841666666666664
146,Ralph Thompson,"Thompson, Ralph",CF,24,H,107.28,101.75,103.69,7.01,4.58,0.96,3.33,5.12,600.0,196.0,41.0,4.0,2.0,68.0,36.0,0.403,0.433,0.387,0.408,DL,24,CF,2.0,1.0,,,,,,,,,,,,,0.391,0.41425,0.27951250000000005,0.11333333333333333,0.06,0.08758333333333335
147,Jim Day,"Day, Jim",C,18,H,109.21,100.83,103.51,5.37,1.92,0.998,1.67,1.14,600.0,180.0,45.0,3.0,12.0,48.0,43.0,0.358,0.458,0.344,0.435,A,18,C,1.0,1.0,,,,,,,,,,,,,0.34750000000000003,0.44075,0.26656250000000004,0.08,0.07166666666666667,0.14075
148,Randall Rowan,"Rowan, Randall",RF,19,H,93.83,104.53,103.45,6.25,2.69,0.995,1.31,2.0,600.0,179.0,37.0,5.0,25.0,50.0,67.0,0.363,0.52,0.34,0.484,AA,19,RF,1.0,1.0,,,,,,,,,,,,,0.34575,0.493,0.2788375,0.08333333333333333,0.11166666666666666,0.19466666666666665
149,Frank Craig,"Craig, Frank",RF,25,H,113.39,104.34,103.4,5.6,3.4,0.999,3.78,4.66,600.0,169.0,36.0,2.0,13.0,85.0,64.0,0.379,0.425,0.363,0.4,AAA,25,RF,2.0,1.0,,,,,,,,,,,,,0.367,0.40625000000000006,0.2667125,0.14166666666666666,0.10666666666666667,0.12458333333333338
150,Nickolas Varona,"Varona, Nickolas",CF,18,H,72.5,106.65,103.23,7.49,2.74,0.994,1.35,2.0,600.0,186.0,31.0,6.0,3.0,103.0,38.0,0.419,0.409,0.404,0.385,A,18,CF,1.0,1.0,,,,,,,,,,,,,0.40775000000000006,0.391,0.28123750000000003,0.17166666666666666,0.06333333333333334,0.08100000000000002
151,Irvin Paradise,"Paradise, Irvin",C,23,H,123.64,96.85,103.23,7.7,3.0,0.981,2.75,1.99,600.0,173.0,38.0,6.0,10.0,52.0,29.0,0.355,0.434,0.336,0.406,AAA,23,C,2.0,1.0,,,,,,,,,,,,,0.34075,0.413,0.2565875,0.08666666666666667,0.04833333333333333,0.12466666666666665
152,Jordan Placencia,"Placencia, Jordan",3B,25,H,58.7,106.1,103.21,1.4,3.36,0.984,3.24,3.03,600.0,179.0,30.0,6.0,3.0,99.0,39.0,0.389,0.368,0.406,0.395,ML,25,3B,4.0,1.0,,,,,,,,,,,,,0.40175,0.38825,0.27785,0.165,0.065,0.08991666666666664
153,Greg Wood,"Wood, Greg",1B,19,H,84.67,106.28,103.19,5.04,3.6,0.955,4.52,3.82,600.0,190.0,28.0,9.0,0.0,89.0,37.0,0.413,0.405,0.396,0.379,AA,19,1B,2.0,1.0,,,,,,,,,,,,,0.40025000000000005,0.3855,0.27648750000000005,0.14833333333333334,0.06166666666666667,0.06883333333333336
155,Scott Neville,"Neville, Scott",CF,25,H,65.1,109.43,103.14,6.25,3.07,0.966,1.35,2.0,600.0,162.0,27.0,8.0,30.0,59.0,83.0,0.345,0.504,0.328,0.477,AAA,25,CF,1.0,1.0,,,,,,,,,,,,,0.33225,0.48375,0.27044999999999997,0.09833333333333333,0.13833333333333334,0.21375
156,Moises Haist,"Haist, Moises",3B,23,H,97.66,108.69,102.95,4.82,4.03,0.995,3.84,4.39,600.0,154.0,32.0,6.0,32.0,94.0,156.0,0.365,0.501,0.35,0.478,AAA,23,3B,2.0,1.0,,,,,,,,,,,,,0.35374999999999995,0.48375,0.28012499999999996,0.15666666666666668,0.26,0.22708333333333336
158,Lucius Luther,"Luther, Lucius",3B,25,H,70.87,105.27,102.75,4.15,2.53,0.985,2.24,1.59,600.0,198.0,40.0,5.0,11.0,54.0,47.0,0.399,0.488,0.37,0.444,ML,25,3B,2.0,1.0,,,,,,,,,,,,,0.37725,0.455,0.2835125,0.09,0.07833333333333334,0.125
159,Sergio Farrare,"Farrare, Sergio",LF,19,H,97.53,104.34,102.73,2.09,3.77,0.995,3.84,4.33,600.0,165.0,36.0,2.0,13.0,92.0,46.0,0.362,0.393,0.379,0.419,AA,19,LF,1.0,1.0,,,,,,,,,,,,,0.37475,0.4125,0.2717625,0.15333333333333332,0.07666666666666666,0.13749999999999996
161,Joseph Averhart,"Averhart, Joseph",CF,25,H,120.99,99.07,102.66,6.65,4.98,0.985,4.33,5.73,600.0,176.0,37.0,5.0,12.0,53.0,45.0,0.36,0.445,0.342,0.418,ML,25,CF,2.0,1.0,,,,,,,,,,,,,0.34650000000000003,0.42475,0.2621125,0.08833333333333333,0.075,0.13141666666666668
162,Jeff Jones,"Jones, Jeff",CF,23,H,116.05,101.1,102.6,6.5,4.44,0.997,3.85,5.08,600.0,190.0,46.0,6.0,16.0,33.0,63.0,0.361,0.508,0.342,0.479,AAA,23,CF,2.0,1.0,,,,,,,,,,,,,0.34675,0.48624999999999996,0.27759999999999996,0.055,0.105,0.1695833333333333
163,Dave Thomas,"Thomas, Dave",LF,22,H,95.87,103.32,102.58,5.21,3.42,0.969,3.31,4.31,600.0,172.0,32.0,4.0,7.0,95.0,36.0,0.394,0.404,0.373,0.371,A,22,LF,1.0,1.0,,,,,,,,,,,,,0.37825,0.37925,0.26502499999999996,0.15833333333333333,0.06,0.0925833333333333
164,Kevin Aiken,"Aiken, Kevin",RF,22,H,46.21,110.81,102.51,1.45,2.65,0.981,1.17,0.93,600.0,167.0,39.0,6.0,29.0,59.0,85.0,0.353,0.527,0.332,0.493,AAA,22,RF,1.0,1.0,,,,,,,,,,,,,0.33725,0.5015000000000001,0.27713750000000004,0.09833333333333333,0.14166666666666666,0.22316666666666674
165,Travis Banks,"Banks, Travis",RF,21,H,64.08,106.65,102.4,2.27,3.99,0.973,4.55,3.5,600.0,175.0,26.0,5.0,29.0,58.0,74.0,0.363,0.511,0.345,0.483,AAA,21,RF,3.0,1.0,,,,,,,,,,,,,0.3495,0.49,0.279775,0.09666666666666666,0.12333333333333334,0.1983333333333333
166,Owen Agilar,"Agilar, Owen",3B,23,H,105.41,101.01,102.38,5.78,4.55,0.992,3.83,4.38,600.0,162.0,30.0,5.0,30.0,59.0,72.0,0.335,0.482,0.335,0.483,AAA,23,3B,3.0,1.0,,,,,,,,,,,,,0.335,0.48274999999999996,0.2714375,0.09833333333333333,0.12,0.21274999999999994
167,Lawrence McGeachy,"McGeachy, Lawrence",LF,22,H,65.95,111.56,102.38,3.8,2.31,0.998,2.15,1.66,600.0,157.0,28.0,3.0,38.0,75.0,123.0,0.333,0.49,0.354,0.522,AA,22,LF,2.0,1.0,,,,,,,,,,,,,0.34874999999999995,0.514,0.2854375,0.125,0.205,0.25233333333333335
168,Alvin Kneip,"Kneip, Alvin",C,20,H,88.74,105.82,102.27,3.65,1.99,0.996,1.61,1.15,600.0,161.0,36.0,6.0,12.0,99.0,37.0,0.383,0.427,0.363,0.396,A,20,C,1.0,1.0,,,,,,,,,,,,,0.368,0.40375000000000005,0.2665375,0.165,0.06166666666666667,0.13541666666666674
169,Phoenix Wright,"Wright, Phoenix",LF,18,H,111.89,101.1,102.18,3.45,4.51,0.986,4.24,5.03,600.0,190.0,35.0,3.0,20.0,41.0,46.0,0.373,0.507,0.349,0.469,A,18,LF,1.0,1.0,,,,,,,,,,,,,0.355,0.47850000000000004,0.27937500000000004,0.06833333333333333,0.07666666666666666,0.16183333333333338
170,Dale Mosley,"Mosley, Dale",RF,20,H,112.11,100.73,101.86,7.06,4.7,0.963,3.98,4.34,600.0,181.0,31.0,5.0,14.0,61.0,68.0,0.374,0.452,0.357,0.426,AA,20,RF,1.0,1.0,,,,,,,,,,,,,0.36124999999999996,0.4325,0.27068749999999997,0.10166666666666667,0.11333333333333333,0.1308333333333333
171,Mike Herren,"Herren, Mike",SS,23,H,119.81,96.75,101.84,8.42,4.24,0.992,6.33,5.52,600.0,162.0,30.0,3.0,17.0,76.0,59.0,0.342,0.403,0.36,0.431,AA,23,SS,2.0,1.0,,,,,,,,,,,,,0.35550000000000004,0.424,0.265975,0.12666666666666668,0.09833333333333333,0.15399999999999997
172,Rob Bienvenu,"Bienvenu, Rob",C,23,H,136.51,95.92,101.82,7.75,2.06,0.997,1.37,1.13,600.0,169.0,39.0,3.0,11.0,67.0,62.0,0.365,0.429,0.344,0.396,AAA,23,C,1.0,1.0,,,,,,,,,,,,,0.34925,0.40425000000000005,0.25822500000000004,0.11166666666666666,0.10333333333333333,0.12258333333333338
174,Josh Hall,"Hall, Josh",1B,22,H,96.88,103.23,101.68,2.59,2.99,0.991,2.75,2.54,600.0,187.0,39.0,3.0,22.0,44.0,75.0,0.37,0.514,0.346,0.477,A,22,1B,1.0,1.0,,,,,,,,,,,,,0.352,0.48625,0.2799625,0.07333333333333333,0.125,0.17458333333333337
175,Jose Lee,"Lee, Jose",RF,23,H,117.4,101.84,101.55,7.14,3.6,0.992,3.6,4.2,600.0,167.0,29.0,5.0,27.0,70.0,108.0,0.363,0.495,0.345,0.467,AAA,23,RF,2.0,1.0,,,,,,,,,,,,,0.3495,0.474,0.275775,0.11666666666666667,0.18,0.19566666666666666
176,Scott Lefevre,"Lefevre, Scott",LF,20,H,82.42,103.51,101.4,6.6,3.22,0.998,2.46,1.87,600.0,176.0,40.0,3.0,22.0,62.0,68.0,0.371,0.499,0.349,0.465,AA,20,LF,2.0,1.0,,,,,,,,,,,,,0.3545,0.47350000000000003,0.27790000000000004,0.10333333333333333,0.11333333333333333,0.1801666666666667
177,Bob McDonald,"McDonald, Bob",CF,19,H,126.8,97.5,101.34,7.51,5.62,0.984,5.4,5.85,600.0,169.0,41.0,2.0,6.0,79.0,64.0,0.376,0.402,0.355,0.37,AA,19,CF,1.0,1.0,,,,,,,,,,,,,0.36024999999999996,0.378,0.2566125,0.13166666666666665,0.10666666666666667,0.09633333333333333
179,Mark Mayol,"Mayol, Mark",2B,23,H,100.94,101.29,101.25,5.5,4.38,0.99,4.73,5.26,600.0,166.0,37.0,4.0,14.0,76.0,84.0,0.349,0.41,0.367,0.438,AAA,23,2B,3.0,1.0,,,,,,,,,,,,,0.3625,0.431,0.270875,0.12666666666666668,0.14,0.15433333333333332
180,Griffin Phoenix,"Phoenix, Griffin",3B,24,H,96.61,100.73,101.25,4.87,2.17,0.981,4.68,4.15,600.0,175.0,32.0,6.0,17.0,69.0,82.0,0.375,0.468,0.355,0.436,AA,24,3B,1.0,1.0,,,,,,,,,,,,,0.36,0.444,0.273,0.115,0.13666666666666666,0.15233333333333332
181,Guyton Willis,"Willis, Guyton",RF,23,H,121.51,101.01,101.21,7.57,4.07,0.984,4.34,4.58,600.0,166.0,27.0,5.0,14.0,70.0,44.0,0.365,0.428,0.339,0.387,AA,23,RF,1.0,1.0,,,,,,,,,,,,,0.34550000000000003,0.39725,0.25478750000000006,0.11666666666666667,0.07333333333333333,0.12058333333333332
182,Stacey Turner,"Turner, Stacey",1B,24,H,59.27,106.84,101.16,4.05,2.21,0.962,1.97,1.85,600.0,173.0,37.0,2.0,29.0,58.0,76.0,0.359,0.515,0.344,0.49,AAA,24,1B,1.0,1.0,,,,,,,,,,,,,0.34775,0.49624999999999997,0.28054999999999997,0.09666666666666666,0.12666666666666668,0.20791666666666664
183,Tito Beshero,"Beshero, Tito",C,20,H,142.43,93.42,101.1,8.47,7.32,0.994,6.62,8.8,600.0,175.0,39.0,3.0,15.0,50.0,85.0,0.353,0.455,0.34,0.436,AA,20,C,1.0,1.0,,,,,,,,,,,,,0.34325,0.44075000000000003,0.26465,0.08333333333333333,0.14166666666666666,0.14908333333333335
184,Charles Droke,"Droke, Charles",SS,22,H,120.31,96.85,101.05,6.31,4.26,0.991,7.13,6.05,600.0,168.0,38.0,3.0,14.0,68.0,82.0,0.364,0.441,0.343,0.408,A,22,SS,1.0,1.0,,,,,,,,,,,,,0.34825000000000006,0.41625,0.26077500000000003,0.11333333333333333,0.13666666666666666,0.13624999999999998
185,Eric Henthorn,"Henthorn, Eric",RF,22,H,75.83,102.77,100.99,3.95,1.41,0.998,1.0,0.68,600.0,172.0,41.0,7.0,12.0,68.0,78.0,0.351,0.426,0.369,0.454,AAA,22,RF,2.0,1.0,,,,,,,,,,,,,0.3645,0.447,0.275775,0.11333333333333333,0.13,0.16033333333333333
186,Josiah Nunez,"Nunez, Josiah",LF,21,H,55.5,105.91,100.88,5.24,2.3,0.972,1.72,1.12,600.0,171.0,30.0,3.0,29.0,68.0,64.0,0.367,0.507,0.35,0.48,AA,21,LF,2.0,1.0,,,,,,,,,,,,,0.35424999999999995,0.48675,0.2811,0.11333333333333333,0.10666666666666667,0.20175000000000004
187,Tommy McKellop,"McKellop, Tommy",RF,22,H,131.48,97.4,100.81,8.03,4.45,0.995,3.69,5.01,600.0,171.0,22.0,3.0,27.0,54.0,91.0,0.355,0.483,0.332,0.446,A,22,RF,1.0,1.0,,,,,,,,,,,,,0.33775,0.45525000000000004,0.26580000000000004,0.09,0.15166666666666667,0.17025000000000007
188,Ron McDonald,"McDonald, Ron",LF,24,H,149.39,93.06,100.53,4.88,7.81,0.997,8.3,10.0,600.0,172.0,37.0,6.0,7.0,59.0,52.0,0.35,0.407,0.35,0.407,ML,24,LF,2.0,1.0,,,,,,,,,,,,,0.35,0.407,0.25925,0.09833333333333333,0.08666666666666667,0.12033333333333329
190,Jeffrey Pudlinski,"Pudlinski, Jeffrey",RF,23,H,123.03,96.94,100.47,7.53,3.23,0.995,3.54,4.32,600.0,175.0,37.0,4.0,14.0,47.0,72.0,0.334,0.422,0.352,0.449,AAA,23,RF,3.0,1.0,,,,,,,,,,,,,0.34750000000000003,0.44225,0.2669375,0.07833333333333334,0.12,0.1505833333333333
191,Carl Statham,"Statham, Carl",1B,23,H,93.98,103.14,100.38,6.69,3.34,0.983,2.65,1.83,600.0,169.0,36.0,1.0,11.0,96.0,58.0,0.371,0.388,0.39,0.419,AAA,23,1B,2.0,1.0,,,,,,,,,,,,,0.38525,0.41125,0.276175,0.16,0.09666666666666666,0.12958333333333333
192,Kevin Boomershine,"Boomershine, Kevin",LF,25,H,99.23,99.44,100.34,6.74,3.1,0.989,2.85,3.88,600.0,171.0,30.0,3.0,10.0,67.0,44.0,0.347,0.377,0.365,0.405,AAA,25,LF,3.0,1.0,,,,,,,,,,,,,0.3605,0.398,0.261725,0.11166666666666666,0.07333333333333333,0.11300000000000004
193,Nicholas Stevens,"Stevens, Nicholas",3B,19,H,119.57,97.03,100.21,6.54,3.56,0.991,4.25,3.97,600.0,173.0,34.0,1.0,13.0,72.0,64.0,0.377,0.43,0.352,0.392,A,19,3B,1.0,1.0,,,,,,,,,,,,,0.35825,0.4015,0.26158750000000003,0.12,0.10666666666666667,0.1131666666666667
195,Dennis Cummings,"Cummings, Dennis",1B,22,H,108.02,99.25,100.12,1.85,3.31,0.994,3.03,2.29,600.0,170.0,33.0,3.0,9.0,77.0,57.0,0.354,0.378,0.374,0.41,AAA,22,1B,1.0,1.0,,,,,,,,,,,,,0.369,0.402,0.26655,0.12833333333333333,0.095,0.1186666666666667
196,John Ryon,"Ryon, John",C,23,H,133.33,92.31,100.12,8.95,4.09,0.991,3.88,4.43,600.0,168.0,41.0,3.0,13.0,62.0,92.0,0.355,0.437,0.338,0.411,AAA,23,C,2.0,1.0,,,,,,,,,,,,,0.34225,0.4175,0.2583875,0.10333333333333333,0.15333333333333332,0.13749999999999996
197,Grady Coates,"Coates, Grady",RF,19,H,110.3,98.97,100.1,5.9,4.52,0.984,4.14,5.14,600.0,174.0,38.0,0.0,4.0,95.0,47.0,0.399,0.393,0.375,0.355,AA,19,RF,2.0,1.0,,,,,,,,,,,,,0.381,0.3645,0.262575,0.15833333333333333,0.07833333333333334,0.07450000000000001
199,Tuck Madden,"Madden, Tuck",3B,19,H,106.43,97.96,99.73,6.86,3.49,0.981,3.47,4.11,600.0,170.0,29.0,6.0,9.0,89.0,88.0,0.386,0.413,0.368,0.385,AA,19,3B,1.0,1.0,,,,,,,,,,,,,0.37250000000000005,0.392,0.265625,0.14833333333333334,0.14666666666666667,0.10866666666666669
