Last,First,Age,Pos,Team,Level,Bat,Throw,Run,Arm,IF_Rng,OF_Rng,Fld,F_P,F_C,F_1B,F_2B,F_3B,F_SS,F_LF,F_CF,F_RF,B_AB,B_H,B_B2,B_B3,B_HR,B_BB,B_SO,vL_AVG,vL_OBP,vL_SLG,vR_AVG,vR_OBP,vR_SLG,Pull,Middle,Opp,B_GB,END,P_AB,P_H,P_B2,P_B3,P_HR,P_BB,P_SO,P1,P1_Qual,P1_vL_AVG,P1_vL_OBP,P1_vL_SLG,P1_vR_AVG,P1_vR_OBP,P1_vR_SLG,P2,P2_Qual,P2_vL_AVG,P2_vL_OBP,P2_vL_SLG,P2_vR_AVG,P2_vR_OBP,P2_vR_SLG,P3,P3_Qual,P3_vL_AVG,P3_vL_OBP,P3_vL_SLG,P3_vR_AVG,P3_vR_OBP,P3_vR_SLG,P4,P4_Qual,P4_vL_AVG,P4_vL_OBP,P4_vL_SLG,P4_vR_AVG,P4_vR_OBP,P4_vR_SLG,P5,P5_Qual,P5_vL_AVG,P5_vL_OBP,P5_vL_SLG,P5_vR_AVG,P5_vR_OBP,P5_vR_SLG,P6,P6_Qual,P6_vL_AVG,P6_vL_OBP,P6_vL_SLG,P6_vR_AVG,P6_vR_OBP,P6_vR_SLG,P_GB,
Haller,Seth,19,LF,FA,A,L,R,2.54,4.23,2.53,3.16,0.974,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,600,150,22,3,14,28,86,0.245,0.276,0.355,0.257,0.292,0.379,0.362,0.382,0.256,0.64,2.88,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.672,0.356,0.523,0.647,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,47.76,
Sulit,Michael,18,CF,SCRN,A,S,R,2.23,5.43,1.41,2.00,0.993,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,600,150,11,3,3,31,44,0.250,0.287,0.294,0.249,0.285,0.293,0.194,0.446,0.361,0.62,1.40,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.671,0.356,0.524,0.648,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,58.34,
Portero,Dave,27,LF,CHES,AAA,L,L,5.54,4.42,4.23,5.21,0.991,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,600,164,29,5,3,20,36,0.267,0.288,0.338,0.281,0.306,0.366,0.353,0.465,0.182,0.65,1.67,84,30,8,1,5,30,6,Fastball,1.00,0.355,0.522,0.646,0.369,0.540,0.674,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,50.24,
Ivy,Jonathan,19,RF,RICH,A,S,R,4.27,7.26,3.52,4.84,0.995,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,600,165,23,1,1,36,24,0.275,0.316,0.322,0.276,0.317,0.323,0.412,0.431,0.157,0.60,2.68,84,30,8,1,5,30,6,Fastball,1.00,0.367,0.538,0.670,0.357,0.524,0.649,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,54.72,
Bigbee,Billy,30,1B,MAHO,ML,R,L,1.97,2.63,1.83,2.20,0.980,0.00,0.00,1.00,0.00,0.01,0.00,1.00,0.00,0.26,600,182,30,5,20,51,66,0.310,0.367,0.481,0.297,0.350,0.456,0.346,0.530,0.125,0.45,2.86,84,30,8,1,5,30,6,Fastball,1.00,0.354,0.521,0.644,0.370,0.541,0.675,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,48.65,
Andrews,Justin,24,LF,FA,A,R,R,3.48,2.63,3.43,4.02,0.990,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.99,600,161,34,4,15,50,113,0.275,0.334,0.426,0.260,0.315,0.396,0.224,0.423,0.353,0.51,2.32,84,30,8,1,5,30,6,Fastball,1.00,0.366,0.537,0.668,0.358,0.526,0.652,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,48.97,
Bailey,Pat,19,SS,ROME,AA,R,R,4.50,5.96,4.19,4.66,0.999,0.00,0.00,0.00,0.00,0.00,0.36,0.00,1.00,0.00,600,173,32,4,0,93,59,0.293,0.390,0.364,0.283,0.377,0.344,0.386,0.399,0.215,0.52,1.09,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.672,0.356,0.523,0.647,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,48.83,
Rowan,Randall,19,RF,DAY,AA,R,R,2.69,6.25,1.31,2.00,0.995,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,600,179,37,5,25,50,67,0.307,0.363,0.520,0.289,0.340,0.484,0.264,0.588,0.147,0.60,2.83,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.673,0.355,0.523,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,44.75,
Kriger,Don,31,3B,SCRN,AAA,R,R,5.55,5.47,6.74,4.96,0.994,0.00,0.00,0.12,1.00,1.00,0.04,0.00,0.00,0.00,600,160,21,0,7,41,54,0.273,0.321,0.347,0.261,0.306,0.323,0.395,0.436,0.168,0.53,2.56,84,30,8,1,5,30,6,Fastball,1.00,0.375,0.547,0.685,0.350,0.515,0.635,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,36.83,
Kunzler,Andrew,19,P,ROME,AA,R,R,1.79,8.58,2.20,3.37,0.986,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,3,1,1,4,36,0.147,0.183,0.235,0.133,0.164,0.205,0.447,0.525,0.028,0.40,8.00,600,163,27,3,15,54,126,Fastball,0.36,0.261,0.323,0.399,0.247,0.306,0.372,Curve,0.33,0.281,0.343,0.419,0.267,0.326,0.392,Changeup,0.31,0.294,0.356,0.432,0.280,0.338,0.404,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,58.62,
Howell,Luis,20,P,FA,A,R,L,2.03,8.48,3.30,3.33,0.994,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,4,0,0,5,23,0.148,0.191,0.195,0.132,0.171,0.165,0.267,0.464,0.269,0.67,3.40,600,177,42,5,24,42,77,Fastball,0.38,0.270,0.315,0.472,0.279,0.326,0.489,Slider,0.27,0.291,0.335,0.492,0.299,0.347,0.510,Changeup,0.32,0.301,0.346,0.503,0.310,0.358,0.521,Split Finger,0.03,0.464,0.509,0.666,0.473,0.521,0.684,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,48.53,
Barrow,William,18,P,SF,A,R,R,2.87,9.43,2.52,3.51,0.990,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,3,0,0,4,21,0.136,0.172,0.173,0.124,0.155,0.147,0.454,0.391,0.156,0.65,3.21,600,168,56,6,32,47,129,Fastball,0.20,0.253,0.307,0.535,0.238,0.288,0.505,Curve,0.20,0.273,0.327,0.555,0.258,0.308,0.525,Slider,0.16,0.287,0.342,0.570,0.272,0.323,0.540,Changeup,0.22,0.295,0.350,0.577,0.280,0.330,0.547,Split Finger,0.08,0.339,0.393,0.621,0.324,0.374,0.591,Forkball,0.14,0.323,0.378,0.605,0.308,0.359,0.576,57.23,
Randolf,Alfred,28,3B,LOUI,AAA,S,R,2.81,6.64,2.08,1.84,0.969,0.00,0.25,1.00,0.00,0.71,0.00,0.00,0.00,0.00,600,174,38,4,10,56,61,0.289,0.349,0.416,0.291,0.352,0.419,0.431,0.412,0.157,0.53,2.38,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.674,0.355,0.522,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,39.21,
Martin,Ronnie,20,P,FA,A,R,R,1.10,9.09,4.85,3.44,0.990,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,3,0,1,5,40,0.138,0.181,0.205,0.122,0.162,0.175,0.372,0.389,0.240,0.59,5.56,600,161,40,4,23,50,112,Fastball,0.27,0.251,0.310,0.453,0.238,0.292,0.426,Curve,0.20,0.272,0.330,0.474,0.259,0.313,0.447,Slider,0.37,0.280,0.339,0.482,0.267,0.321,0.455,Forkball,0.16,0.306,0.364,0.508,0.292,0.347,0.481,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,46.24,
Helsel,Carlos,22,P,FA,A,L,L,3.51,9.35,3.47,3.98,0.988,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,3,1,0,3,35,0.151,0.173,0.191,0.169,0.196,0.229,0.348,0.378,0.274,0.73,8.00,600,193,40,4,23,72,141,Fastball,0.29,0.296,0.366,0.488,0.310,0.384,0.516,Slider,0.40,0.316,0.386,0.509,0.330,0.404,0.537,Changeup,0.30,0.331,0.402,0.524,0.345,0.420,0.552,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,46.23,
Moorman,Lino,19,P,FA,A,R,R,3.01,8.45,2.96,2.08,0.990,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,2,0,0,5,34,0.158,0.201,0.186,0.142,0.180,0.154,0.317,0.452,0.231,0.73,7.10,600,178,49,5,28,80,166,Fastball,0.31,0.286,0.372,0.536,0.271,0.352,0.505,Slider,0.36,0.306,0.392,0.557,0.291,0.372,0.525,Changeup,0.32,0.320,0.405,0.570,0.305,0.385,0.539,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,58.25,
Blanco,Charlie,22,P,IDA,AA,L,L,1.81,8.81,2.22,2.75,0.994,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,3,1,1,6,44,0.143,0.188,0.215,0.157,0.208,0.245,0.443,0.358,0.199,0.62,4.51,600,151,23,2,13,39,56,Fastball,0.39,0.227,0.270,0.331,0.244,0.292,0.364,Curve,0.28,0.248,0.291,0.351,0.265,0.313,0.385,Slider,0.33,0.258,0.302,0.362,0.275,0.323,0.395,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,64.75,
Marriott,Francis,25,SS,LOUI,ML,L,R,4.32,8.71,6.01,4.12,0.992,0.00,0.00,0.02,0.31,1.00,1.00,0.00,0.00,0.00,600,148,28,1,37,75,93,0.240,0.321,0.470,0.253,0.339,0.497,0.285,0.471,0.244,0.57,1.38,84,30,8,1,5,30,6,Fastball,1.00,0.367,0.538,0.670,0.357,0.525,0.650,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,46.13,
Coleman,Willie,21,P,FA,A,R,R,2.55,8.55,2.03,2.17,0.979,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,2,1,1,3,42,0.168,0.195,0.246,0.152,0.174,0.214,0.400,0.420,0.181,0.54,4.87,600,188,37,4,22,33,94,Slider,0.49,0.310,0.347,0.501,0.297,0.331,0.475,Changeup,0.51,0.330,0.367,0.521,0.317,0.351,0.495,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,47.94,
Stone,Otha,29,P,SCRN,ML,R,L,1.82,8.89,4.42,2.68,0.988,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,4,1,0,3,29,0.146,0.173,0.213,0.134,0.157,0.187,0.300,0.499,0.201,0.54,7.13,600,173,28,3,16,35,97,Fastball,0.38,0.265,0.302,0.396,0.278,0.319,0.423,Curve,0.34,0.285,0.322,0.417,0.298,0.339,0.443,Changeup,0.28,0.299,0.336,0.431,0.312,0.353,0.457,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,50.88,
Hall,Brooks,27,3B,CHES,ML,S,R,3.60,5.80,3.83,3.09,0.993,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,600,191,51,1,25,51,44,0.316,0.369,0.530,0.320,0.373,0.534,0.606,0.267,0.127,0.43,2.34,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.671,0.356,0.524,0.648,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,36.28,
Reinschmidt,John,22,P,ROCK,A,R,R,2.85,8.78,2.92,2.47,0.995,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,2,1,1,5,33,0.145,0.187,0.220,0.135,0.175,0.200,0.334,0.465,0.201,0.62,6.90,600,156,35,4,20,56,147,Fastball,0.26,0.243,0.308,0.419,0.231,0.293,0.396,Curve,0.18,0.263,0.329,0.440,0.252,0.314,0.417,Changeup,0.31,0.272,0.337,0.449,0.260,0.322,0.425,Split Finger,0.24,0.287,0.352,0.463,0.275,0.337,0.440,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,33.00,
Ellis,Felipe,20,P,FA,A,L,L,2.13,8.59,4.25,2.49,0.993,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,4,1,1,6,22,0.162,0.207,0.244,0.178,0.227,0.276,0.349,0.451,0.201,0.49,5.49,600,178,36,4,21,37,65,Fastball,0.18,0.258,0.297,0.429,0.270,0.313,0.454,Curve,0.25,0.278,0.318,0.450,0.291,0.334,0.475,Slider,0.23,0.292,0.331,0.463,0.304,0.347,0.488,Sinker,0.16,0.310,0.349,0.481,0.322,0.365,0.506,Forkball,0.18,0.317,0.356,0.489,0.329,0.372,0.513,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,42.76,
Hunt,Bob,23,P,FA,A,R,L,1.79,8.38,2.76,3.13,0.981,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,4,0,0,3,38,0.159,0.187,0.208,0.141,0.163,0.172,0.298,0.417,0.285,0.73,8.00,600,180,39,4,22,59,50,Fastball,0.29,0.270,0.330,0.452,0.285,0.350,0.483,Curve,0.20,0.290,0.351,0.473,0.306,0.371,0.503,Slider,0.30,0.299,0.360,0.482,0.315,0.380,0.512,Changeup,0.21,0.316,0.377,0.498,0.332,0.397,0.529,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,62.40,
Rood,Dave,20,CF,SF,AA,R,R,3.95,5.08,4.76,5.18,0.984,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,600,167,35,4,19,92,65,0.288,0.386,0.465,0.268,0.361,0.426,0.572,0.281,0.148,0.55,1.94,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.672,0.356,0.524,0.648,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,33.00,
Lobato,Albert,19,3B,FA,A,R,R,4.13,8.50,5.00,4.00,0.982,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,600,139,30,2,12,24,69,0.239,0.271,0.363,0.225,0.253,0.335,0.504,0.305,0.192,0.51,1.35,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.674,0.355,0.522,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,33.00,
Etchison,Justin,22,1B,SF,AA,R,R,3.03,4.59,2.90,3.44,0.967,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,600,167,34,0,28,89,100,0.284,0.378,0.486,0.272,0.363,0.462,0.402,0.458,0.140,0.50,2.29,84,30,8,1,5,30,6,Fastball,1.00,0.371,0.543,0.678,0.353,0.519,0.641,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,43.28,
Knight,L.A.,21,LF,ROCK,AAA,L,L,5.13,7.63,3.67,5.64,0.982,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,600,203,58,1,27,114,66,0.329,0.432,0.553,0.347,0.456,0.590,0.319,0.461,0.220,0.45,2.76,84,30,8,1,5,30,6,Fastball,1.00,0.356,0.523,0.647,0.369,0.540,0.673,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,50.11,
Burgdorf,George,22,2B,CASP,AA,R,R,2.59,5.03,1.94,1.40,0.982,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,600,158,39,4,12,52,93,0.270,0.330,0.413,0.256,0.313,0.386,0.398,0.487,0.115,0.58,2.52,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.671,0.356,0.524,0.648,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,38.41,
Jenson,Eduardo,19,C,FA,A,S,R,2.59,7.62,1.94,1.69,0.987,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600,150,21,3,6,28,76,0.249,0.282,0.324,0.251,0.285,0.326,0.243,0.445,0.312,0.73,1.71,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.542,0.676,0.354,0.521,0.644,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,45.24,
Gregerson,Santos,22,SS,NORW,AA,R,R,4.79,4.15,7.04,5.97,0.998,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,600,131,17,3,6,50,106,0.224,0.285,0.299,0.214,0.273,0.279,0.317,0.384,0.299,0.70,2.67,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.674,0.355,0.522,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,33.00,
Hakes,Chris,18,P,FRIS,A,R,R,1.65,8.64,2.81,2.93,0.992,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,4,1,1,4,20,0.138,0.174,0.236,0.122,0.153,0.204,0.483,0.364,0.154,0.53,7.72,600,166,44,5,26,40,79,Fastball,0.25,0.259,0.307,0.487,0.244,0.288,0.456,Curve,0.22,0.280,0.327,0.507,0.265,0.308,0.476,Slider,0.26,0.290,0.338,0.518,0.275,0.319,0.487,Changeup,0.27,0.302,0.350,0.529,0.287,0.330,0.499,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,40.37,
Rivers,Jordan,22,CF,FA,A,R,R,3.07,5.57,2.73,3.57,0.986,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,600,154,23,5,8,35,109,0.265,0.308,0.370,0.247,0.286,0.335,0.338,0.469,0.193,0.59,1.86,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.674,0.355,0.522,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,40.08,
Seiple,Charlie,19,RF,CASP,AA,R,R,2.06,2.12,1.82,2.00,0.995,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,600,165,39,3,17,78,76,0.283,0.369,0.450,0.267,0.349,0.418,0.414,0.404,0.182,0.52,1.13,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.672,0.356,0.524,0.648,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,47.30,
Ouimet,Barry,23,CF,LOUI,AAA,L,L,2.87,6.59,3.58,4.05,0.991,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.86,0.00,600,164,33,2,36,87,128,0.265,0.355,0.497,0.280,0.375,0.527,0.414,0.451,0.135,0.54,1.72,84,30,8,1,5,30,6,Fastball,1.00,0.354,0.520,0.643,0.371,0.542,0.677,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,43.13,
McDonell,Gary,23,C,FA,A,L,R,2.74,7.43,2.01,1.50,0.993,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600,149,22,3,11,38,121,0.243,0.286,0.337,0.254,0.300,0.359,0.374,0.440,0.186,0.49,2.12,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.674,0.355,0.522,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,44.79,
Lefton,Lawrence,25,LF,CHES,AAA,R,R,3.54,5.37,5.94,4.70,0.989,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,600,161,39,3,12,45,67,0.276,0.329,0.418,0.260,0.309,0.388,0.434,0.277,0.289,0.50,1.67,84,30,8,1,5,30,6,Fastball,1.00,0.373,0.545,0.681,0.352,0.518,0.638,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,59.84,
McManus,Alex,23,1B,FA,A,L,R,3.27,3.87,2.80,2.21,0.992,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,600,151,26,4,13,33,52,0.247,0.284,0.362,0.256,0.296,0.380,0.362,0.410,0.228,0.71,2.53,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.673,0.355,0.523,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,49.28,
